id,nombre,idPais
05,ANTIOQUIA,001
08,ATLANTICO,001
11,BOGOTA,001
13,BOLIVAR,001
15,BOYACA,001
17,CALDAS,001
18,CAQUETA,001
19,CAUCA,001
20,CESAR,001
23,CORDOBA,001
25,CUNDINAMARCA,001
27,CHOCO,001
41,HUILA,001
44,LA GUAJIRA,001
47,MAGDALENA,001
50,META,001
52,NARIÑO,001
54,N. DE SANTANDER,001
63,QUINDIO,001
66,RISARALDA,001
68,SANTANDER,001
70,SUCRE,001
73,TOLIMA,001
76,VALLE DEL CAUCA,001
81,ARAUCA,001
85,CASANARE,001
86,PUTUMAYO,001
88,SAN ANDRES,001
91,AMAZONAS,001
94,GUAINIA,001
95,GUAVIARE,001
97,VAUPES,001
99,VICHADA,001
